,p,t,right,wrong,bias,lexeme,h,a,lang,right_this,wrong_this,ts,uid,lexeme_orig,datetime,decimal_hours
287825,0.9999,16.086909722222224,2.6457513110645907,1.7320508075688772,1.0,en:walk/walk<vblex><pres>,274.0,0.3871459425887159,es->en,1,1,1362814053,u:hOzt,walk/walk<vblex><pres>,2013-03-09 07:27:33,7.459166666666666
17840,0.9999,0.0059027777777777,17.635192088548397,4.58257569495584,1.0,en:have/have<vblex><pres>,40.91289196040561,0.0587880002651149,es->en,1,1,1362273967,u:c3uk,have/have<vblex><pres>,2013-03-03 01:26:07,1.435277777777778
63676,0.0001,47.896770833333335,3.0,1.7320508075688772,1.0,en:beer/beer<n><sg>,3.604591179069259,0.3571428571428571,pt->en,0,1,1362613534,u:domR,beer/beer<n><sg>,2013-03-06 23:45:34,23.759444444444444
387263,0.9999,4.870474537037037,3.0,1.0,1.0,en:drinks/drink<vblex><pri><p3><sg>,274.0,0.4166666666666667,pt->en,3,3,1362350059,u:iH_q,drinks/drink<vblex><pri><p3><sg>,2013-03-03 22:34:19,22.571944444444444
246588,0.9999,4.94974537037037,3.3166247903554,1.0,1.0,en:our/our<det><pos><sp>,274.0,0.3797589135968143,es->en,2,2,1362437910,u:h1RS,our/our<det><pos><sp>,2013-03-04 22:58:30,22.975
194282,0.9999,1.009224537037037,1.7320508075688772,1.4142135623730951,1.0,en:siblings/sibling<n><pl>,274.0,0.5331501153669824,pt->en,1,1,1362424738,u:gP_j,siblings/sibling<n><pl>,2013-03-04 19:18:58,19.316111111111116
273145,0.9999,3.8559375,2.0,1.0,1.0,en:cat/cat<n><sg>,274.0,0.5714285714285714,pt->en,1,1,1362423698,u:hCzo,cat/cat<n><sg>,2013-03-04 19:01:38,19.02722222222222
364621,0.9999,0.0317129629629629,2.449489742783178,1.4142135623730951,1.0,en:bread/bread<n><sg>,219.8065175911988,0.4449489742783178,es->en,1,1,1362709942,u:i6TA,bread/bread<n><sg>,2013-03-08 02:32:22,2.5394444444444444
189874,0.9999,0.0084837962962962,1.7320508075688772,1.0,1.0,en:cat/cat<n><sg>,58.802254523484926,0.6220084679281462,es->en,1,1,1362851574,u:gNAS,cat/cat<n><sg>,2013-03-09 17:52:54,17.881666666666668
100238,0.5,91.76041666666669,1.7320508075688772,1.0,1.0,en:by/by<pr>,91.76041666666669,0.6220084679281462,pt->en,1,2,1362912769,u:emY-,by/by<pr>,2013-03-10 10:52:49,10.880277777777778
193619,0.5,2.0505324074074074,5.830951894845301,2.449489742783178,1.0,en:eat/eat<vblex><pres>,2.0505324074074074,0.1864512355915547,es->en,1,2,1362516388,u:gP79,eat/eat<vblex><pres>,2013-03-05 20:46:28,20.774444444444445
130486,0.9999,0.0016435185185185,14.866068747318506,4.0,1.0,en:is/be<vbser><pri><p3><sg>,11.391432663485483,0.0705693253025879,es->en,1,1,1362413279,u:fTgU,is/be<vbser><pri><p3><sg>,2013-03-04 16:07:59,16.133055555555558
374348,0.9999,3.1154050925925927,1.7320508075688772,1.0,1.0,en:when/when<adv><itg>,274.0,0.6220084679281462,es->en,2,2,1363005903,u:iChk,when/when<adv><itg>,2013-03-11 12:45:03,12.750833333333333
232029,0.9999,4.707962962962963,1.4142135623730951,1.0,1.0,en:cup/cup<n><sg>,274.0,0.682842712474619,it->en,1,1,1362839805,u:gt5P,cup/cup<n><sg>,2013-03-09 14:36:45,14.6125
423984,0.83333331,2.9755902777777776,2.449489742783178,1.0,1.0,en:woman/woman<n><sg>,11.312549821646982,0.4943877491981309,pt->en,5,6,1362614358,u:iVuZ,woman/woman<n><sg>,2013-03-06 23:59:18,23.988333333333333
105499,0.9999,0.0030324074074074,3.872983346207417,1.0,1.0,en:book/book<n><sg>,21.01799547769857,0.3262768525670787,pt->en,2,2,1362428591,u:ezmd,book/book<n><sg>,2013-03-04 20:23:11,20.386388888888888
276522,0.9999,2.891770833333333,2.6457513110645907,1.0,1.0,en:speaks/speak<vblex><pri><p3><sg>,274.0,0.4645751311064591,es->en,1,1,1362168386,u:hGXe,speaks/speak<vblex><pri><p3><sg>,2013-03-01 20:06:26,20.107222222222223
409544,0.9999,5.156828703703703,1.4142135623730951,1.0,1.0,en:pasta/pasta<n><sg>,274.0,0.682842712474619,es->en,2,2,1362889731,u:iPx8,pasta/pasta<n><sg>,2013-03-10 04:28:51,4.480833333333334
482793,0.9999,9.286180555555555,4.242640687119285,1.0,1.0,en:bread/bread<n><sg>,274.0,0.2972686041485374,pt->en,3,3,1362344937,u:ioil,bread/bread<n><sg>,2013-03-03 21:08:57,21.149166666666662
493255,0.80000001,1.248935185185185,1.7320508075688772,1.0,1.0,en:men/man<n><pl>,3.8795472497817016,0.6220084679281462,es->en,4,5,1363022687,u:ja8V,men/man<n><pl>,2013-03-11 17:24:47,17.413055555555555
404683,0.9999,1.799201388888889,2.8284271247461903,1.0,1.0,en:sugar/sugar<n><sg>,274.0,0.4389479204314718,pt->en,1,1,1362675200,u:iOYg,sugar/sugar<n><sg>,2013-03-07 16:53:20,16.88888888888889
359524,0.0001,0.096574074074074,2.6457513110645907,1.0,1.0,en:breakfast/breakfast<n><sg>,0.0104166666666666,0.4645751311064591,es->en,0,1,1362775448,u:i3jc,breakfast/breakfast<n><sg>,2013-03-08 20:44:08,20.73555555555556
21502,0.66666669,6.6471875,7.416198487095663,3.4641016151377544,1.0,en:her/her<det><pos><sp>,11.363443067879697,0.1364666447405168,es->en,2,3,1362250509,u:cEcM,her/her<det><pos><sp>,2013-03-02 18:55:09,18.91916666666667
47947,0.80000001,0.0066435185185185,8.426149773176359,2.8284271247461903,1.0,en:woman/woman<n><sg>,0.0206366545703256,0.128717898434276,es->en,4,5,1362485339,u:dOPZ,woman/woman<n><sg>,2013-03-05 12:08:59,12.149722222222222
394234,0.9999,4.707175925925926,2.23606797749979,1.4142135623730951,1.0,en:taste/taste<n><sg>,274.0,0.4706742197221988,pt->en,2,2,1362677116,u:iKgw,taste/taste<n><sg>,2013-03-07 17:25:16,17.421111111111113
284753,0.9999,4.034108796296296,3.1622776601683795,1.0,1.0,en:menu/menu<n><sg>,274.0,0.3970982815514138,es->en,2,2,1362926129,u:hNJh,menu/menu<n><sg>,2013-03-10 14:35:29,14.59138888888889
231756,0.9999,0.0028935185185185,5.744562646538029,1.4142135623730951,1.0,en:sandwich/sandwich<n><sg>,20.05533919627726,0.2093125039604872,es->en,1,1,1363037337,u:gsnB,sandwich/sandwich<n><sg>,2013-03-11 21:28:57,21.4825
231724,0.9999,0.0014930555555555,6.708203932499369,1.4142135623730951,1.0,en:girls/girl<n><pl>,10.348555025279069,0.1777184476020279,es->en,1,1,1363037798,u:gsnB,girls/girl<n><pl>,2013-03-11 21:36:38,21.61055555555556
486169,0.0001,3.936284722222222,1.7320508075688772,1.0,1.0,en:their/their<det><pos><sp>,0.2962349432156878,0.6220084679281462,es->en,0,2,1363046907,u:iscN,their/their<det><pos><sp>,2013-03-12 00:08:27,0.1408333333333333
314447,0.9999,0.0038078703703703,6.48074069840786,1.0,1.0,en:water/water<n><sg>,26.392826382300875,0.1884609044090635,es->en,2,2,1362090623,u:haW5,water/water<n><sg>,2013-02-28 22:30:23,22.50638888888889
443297,0.9999,0.0129282407407407,2.6457513110645907,1.4142135623730951,1.0,en:like/like<pr>,89.60725552896679,0.4223410282785991,pt->en,1,1,1362947871,u:idXo,like/like<pr>,2013-03-10 20:37:51,20.63083333333333
20255,0.9999,0.0038541666666666,5.0990195135927845,1.7320508075688772,1.0,en:milk/milk<n><sg>,26.71371180944131,0.229000629470735,es->en,1,1,1363033127,u:cAUR,milk/milk<n><sg>,2013-03-11 20:18:47,20.31305555555556
59538,0.9999,0.0026157407407407,3.0,1.7320508075688772,1.0,en:bird/bird<n><sg>,18.13002663343464,0.3571428571428571,es->en,1,1,1362371915,u:dir5,bird/bird<n><sg>,2013-03-04 04:38:35,4.643055555555555
340419,0.0001,22.84537037037037,2.0,1.0,1.0,en:on/on<pr>,1.7192854358836591,0.5714285714285714,es->en,0,1,1362448284,u:hqOE,on/on<pr>,2013-03-05 01:51:24,1.856666666666667
412615,0.9999,7.952592592592593,2.6457513110645907,1.4142135623730951,1.0,en:the/the<det><def><sp>,274.0,0.4223410282785991,es->en,6,6,1362864811,u:iQka,the/the<det><def><sp>,2013-03-09 21:33:31,21.558611111111112
140747,0.9999,14.945034722222225,4.58257569495584,1.0,1.0,en:sandwich/sandwich<n><sg>,274.0,0.2742739872898266,pt->en,1,1,1362519679,u:fdxS,sandwich/sandwich<n><sg>,2013-03-05 21:41:19,21.68861111111111
477226,0.9999,6.624699074074074,2.6457513110645907,1.4142135623730951,1.0,en:want/want<vblex><pres>,274.0,0.4223410282785991,it->en,2,2,1362387232,u:ilwc,want/want<vblex><pres>,2013-03-04 08:53:52,8.897777777777778
333816,0.5,0.0049537037037037,6.48074069840786,2.8284271247461903,1.0,en:dog/dog<n><sg>,0.0104166666666666,0.1630911672770742,pt->en,1,2,1363074343,u:hlWS,dog/dog<n><sg>,2013-03-12 07:45:43,7.7619444444444445
40507,0.9999,9.932453703703704,4.58257569495584,1.7320508075688772,1.0,en:there/there<adv>,274.0,0.2531759882675323,es->en,1,1,1362441885,u:d5q_,there/there<adv>,2013-03-05 00:04:45,0.0791666666666666
300721,0.9999,0.0025578703703703,2.8284271247461903,1.0,1.0,en:sandwich/sandwich<n><sg>,17.728919849509097,0.4389479204314718,es->en,2,2,1362511605,u:hVw3,sandwich/sandwich<n><sg>,2013-03-05 19:26:45,19.445833333333333
343281,0.9999,9.879849537037035,2.23606797749979,1.7320508075688772,1.0,en:shoe/shoe<n><sg>,274.0,0.423606797749979,pt->en,1,1,1362888136,u:htjQ,shoe/shoe<n><sg>,2013-03-10 04:02:16,4.0377777777777775
440750,0.0001,0.5671990740740741,2.0,1.0,1.0,en:we/prpers<prn><subj><p1><mf><pl>,0.0426859837022831,0.5714285714285714,es->en,0,1,1362147124,u:icQN,we/prpers<prn><subj><p1><mf><pl>,2013-03-01 14:12:04,14.20111111111111
39582,0.5,0.0039467592592592,1.7320508075688772,1.0,1.0,en:audience/audience<n><sg>,0.0104166666666666,0.6220084679281462,es->en,1,2,1362940463,u:d3s_,audience/audience<n><sg>,2013-03-10 18:34:23,18.573055555555555
282087,0.9999,0.0027546296296296,2.449489742783178,1.7320508075688772,1.0,en:tail/tail<n><sg>,19.09268291485595,0.4044990675257434,es->en,2,2,1363066200,u:hL5d,tail/tail<n><sg>,2013-03-12 05:30:00,5.5
179334,0.9999,1.1467013888888888,14.2828568570857,4.123105625617661,1.0,en:we/prpers<prn><subj><p1><mf><pl>,274.0,0.0730172953232542,es->en,3,3,1362429350,u:gCIc,we/prpers<prn><subj><p1><mf><pl>,2013-03-04 20:35:50,20.59722222222222
125374,0.9999,0.0043981481481481,3.605551275463989,1.7320508075688772,1.0,en:an/a<det><ind><sg>,30.48411557834144,0.311419515303555,pt->en,2,2,1362236860,u:fOoU,an/a<det><ind><sg>,2013-03-02 15:07:40,15.127777777777778
367010,0.9999,1.7682523148148148,2.23606797749979,1.0,1.0,en:child/child<n><sg>,274.0,0.5295084971874737,es->en,3,3,1362949500,u:i7vB,child/child<n><sg>,2013-03-10 21:05:00,21.08333333333333
395989,0.9999,0.0027430555555555,2.8284271247461903,1.0,1.0,en:boys/boy<n><pl>,19.012461558070843,0.4389479204314718,es->en,3,3,1362149171,u:iLa-,boys/boy<n><pl>,2013-03-01 14:46:11,14.769722222222224
232530,0.9999,1.6557870370370371,2.0,1.0,1.0,en:shoe/shoe<n><sg>,274.0,0.5714285714285714,pt->en,1,1,1362485027,u:gtLd,shoe/shoe<n><sg>,2013-03-05 12:03:47,12.063055555555556
25889,0.0001,1.188726851851852,3.872983346207417,2.0,1.0,en:tonight/tonight<adv>,0.0894606097646552,0.2796658736289246,es->en,0,1,1362341776,u:cWJO,tonight/tonight<adv>,2013-03-03 20:16:16,20.27111111111111
412590,0.9999,2.009976851851852,2.0,1.0,1.0,en:until/until<cnjadv>,274.0,0.5714285714285714,it->en,3,3,1362784261,u:iQkU,until/until<cnjadv>,2013-03-08 23:11:01,23.183611111111112
394009,0.9999,0.0019675925925925,4.47213595499958,1.0,1.0,en:boy/boy<n><sg>,13.637630653468536,0.2813972154347643,es->en,1,1,1362954156,u:iKc3,boy/boy<n><sg>,2013-03-10 22:22:36,22.37666666666667
383599,0.5,0.7996875,2.449489742783178,1.7320508075688772,1.0,en:bear/bear<n><sg>,0.7996875,0.4044990675257434,pt->en,1,2,1362307376,u:iGMm,bear/bear<n><sg>,2013-03-03 10:42:56,10.715555555555556
417584,0.9999,7.876388888888889,2.0,1.4142135623730951,1.0,en:newspaper/newspaper<n><sg>,274.0,0.5,es->en,2,2,1363026557,u:iSl7,newspaper/newspaper<n><sg>,2013-03-11 18:29:17,18.48805555555556
325201,0.9999,22.01625,4.242640687119285,1.7320508075688772,1.0,en:sandwich/sandwich<n><sg>,274.0,0.2714191603095341,es->en,1,1,1362939192,u:hgZV,sandwich/sandwich<n><sg>,2013-03-10 18:13:12,18.22
459439,0.9999,0.0032754629629629,2.23606797749979,1.0,1.0,en:fish/fish<n><sg>,22.70264397018586,0.5295084971874737,es->en,2,2,1362098741,u:ihtW,fish/fish<n><sg>,2013-03-01 00:45:41,0.7613888888888889
418686,0.9999,0.0237847222222222,2.0,1.4142135623730951,1.0,en:not/not<adv>,164.85488819339906,0.5,es->en,1,1,1362455129,u:iTFM,not/not<adv>,2013-03-05 03:45:29,3.758055555555556
253502,0.9999,0.0010416666666666,1.7320508075688772,1.0,1.0,en:hello/hello<ij>,7.219922110659813,0.6220084679281462,es->en,1,1,1362084437,u:h4XL,hello/hello<ij>,2013-02-28 20:47:17,20.78805555555556
443112,0.9999,2.0733564814814813,2.0,1.0,1.0,en:on/on<adv>,274.0,0.5714285714285714,pt->en,1,1,1362872551,u:idXn,on/on<adv>,2013-03-09 23:42:31,23.70861111111111
178882,0.9999,0.0166087962962962,4.0,1.4142135623730951,1.0,en:blue/blue<adj>,115.11764698663146,0.3,pt->en,1,1,1362090397,u:gBkL,blue/blue<adj>,2013-02-28 22:26:37,22.44361111111111
438033,0.9999,4.053541666666667,2.0,1.0,1.0,en:staff/staff<n><sg>,274.0,0.5714285714285714,es->en,1,1,1362358465,u:ibQf,staff/staff<n><sg>,2013-03-04 00:54:25,0.9069444444444444
309119,0.9999,0.0041203703703703,13.152946437965904,5.0,1.0,en:girls/girl<n><pl>,28.55880301549882,0.0757647321898295,es->en,2,2,1362416930,u:hZi2,girls/girl<n><pl>,2013-03-04 17:08:50,17.147222222222222
284855,0.5,16.508368055555554,1.7320508075688772,1.4142135623730951,1.0,en:they/prpers<prn><subj><p3><mf><pl>,16.508368055555554,0.5331501153669824,es->en,1,2,1362451536,u:hNKT,they/prpers<prn><subj><p3><mf><pl>,2013-03-05 02:45:36,2.76
199177,0.9999,0.0060879629629629,2.6457513110645907,1.4142135623730951,1.0,en:eats/eat<vblex><pri><p3><sg>,42.19643366896735,0.4223410282785991,es->en,2,2,1362189390,u:gT0S,eats/eat<vblex><pri><p3><sg>,2013-03-02 01:56:30,1.9416666666666669
68963,0.66666669,0.0042129629629629,4.0,1.0,1.0,en:she/prpers<prn><subj><p3><f><sg>,0.0104166666666666,0.3157894736842105,pt->en,2,3,1362769497,u:dw7w,she/prpers<prn><subj><p3><f><sg>,2013-03-08 19:04:57,19.0825
112468,0.9999,5.433287037037037,5.385164807134504,1.4142135623730951,1.0,en:is/be<vbser><pri><p3><sg>,274.0,0.2237928729434698,it->en,1,1,1362524304,u:f9dl,is/be<vbser><pri><p3><sg>,2013-03-05 22:58:24,22.973333333333333
335133,0.9999,0.9920023148148148,7.0,2.449489742783178,1.0,en:our/our<det><pos><sp>,274.0,0.1578947368421052,es->en,1,1,1363096903,u:hm6G,our/our<det><pos><sp>,2013-03-12 14:01:43,14.028611111111111
458460,0.9999,2.6654282407407406,1.7320508075688772,1.0,1.0,en:tomato/tomato<n><sg>,274.0,0.6220084679281462,es->en,5,5,1362846070,u:ihnK,tomato/tomato<n><sg>,2013-03-09 16:21:10,16.352777777777778
427365,0.9999,2.6623842592592597,2.0,1.0,1.0,en:eat/eat<vblex><pres>,274.0,0.5714285714285714,es->en,4,4,1362770910,u:iXNZ,eat/eat<vblex><pres>,2013-03-08 19:28:30,19.475
216355,0.9999,11.630706018518518,2.23606797749979,1.0,1.0,en:out/out<pr>,274.0,0.5295084971874737,it->en,1,1,1362836368,u:gfSU,out/out<pr>,2013-03-09 13:39:28,13.657777777777778
297604,0.80000001,0.0030555555555555,4.358898943540674,1.4142135623730951,1.0,en:bread/bread<n><sg>,0.0104166666666666,0.276473867110464,pt->en,4,5,1362084513,u:hUWR,bread/bread<n><sg>,2013-02-28 20:48:33,20.809166666666663
181151,0.9999,3.031909722222222,1.7320508075688772,1.0,1.0,en:allow/allow<vblex><pres>,274.0,0.6220084679281462,pt->en,1,1,1362087340,u:gDpV,allow/allow<vblex><pres>,2013-02-28 21:35:40,21.594444444444445
342706,0.9999,3.648148148148149,2.0,1.0,1.0,en:hat/hat<n><sg>,274.0,0.5714285714285714,es->en,1,1,1362772466,u:ht9R,hat/hat<n><sg>,2013-03-08 19:54:26,19.90722222222222
52546,0.9999,0.0028703703703703,4.0,1.0,1.0,en:reads/read<vblex><pri><p3><sg>,19.89489648270704,0.3157894736842105,es->en,4,4,1362605182,u:dXIr,reads/read<vblex><pri><p3><sg>,2013-03-06 21:26:22,21.439444444444444
357937,0.9999,0.0169212962962962,3.0,1.7320508075688772,1.0,en:rice/rice<n><sg>,117.2836236198294,0.3571428571428571,es->en,1,1,1362881122,u:i39e,rice/rice<n><sg>,2013-03-10 02:05:22,2.0894444444444447
303821,0.9999,0.0024305555555555,4.898979485566356,1.7320508075688772,1.0,en:yours/yours<prn><pos><mf><sp>,16.846484924872897,0.2378958443298743,it->en,2,2,1362402111,u:hX-p,yours/yours<prn><pos><mf><sp>,2013-03-04 13:01:51,13.030833333333334
293641,0.75,2.902523148148148,2.0,1.0,1.0,en:bit/bit<n><sg>,6.993399760723986,0.5714285714285714,es->en,3,4,1362964869,u:hS3i,bit/bit<n><sg>,2013-03-11 01:21:09,1.3525
487210,0.9999,4.136446759259259,2.0,1.0,1.0,en:<*sf>/judge<n><*numb>,274.0,0.5714285714285714,es->en,1,1,1362226041,u:iumS,<*sf>/judge<n><*numb>,2013-03-02 12:07:21,12.1225
150542,0.9999,10.048668981481482,1.7320508075688772,1.4142135623730951,1.0,en:abroad/abroad<adv>,274.0,0.5331501153669824,it->en,1,1,1362868394,u:fqhj,abroad/abroad<adv>,2013-03-09 22:33:14,22.55388888888889
236508,0.9999,2.95619212962963,1.7320508075688772,1.0,1.0,en:studio/studio<n><sg>,274.0,0.6220084679281462,pt->en,1,1,1362667561,u:gxH0,studio/studio<n><sg>,2013-03-07 14:46:01,14.766944444444444
37752,0.9999,0.9885185185185184,3.4641016151377544,1.0,1.0,en:beef/beef<n><sg>,274.0,0.3642734410091836,es->en,1,1,1362602188,u:d-jW,beef/beef<n><sg>,2013-03-06 20:36:28,20.60777777777778
342526,0.9999,0.0052083333333333,13.638181696985855,3.605551275463989,1.0,en:girls/girl<n><pl>,36.099610553299065,0.0778018989899793,es->en,3,3,1362436276,u:ht1n,girls/girl<n><pl>,2013-03-04 22:31:16,22.52111111111111
358982,0.9999,0.0040856481481481,3.3166247903554,1.4142135623730951,1.0,en:eats/eat<vblex><pri><p3><sg>,28.31813894514349,0.35444165269036,es->en,3,3,1362718615,u:i3_D,eats/eat<vblex><pri><p3><sg>,2013-03-08 04:56:55,4.948611111111111
354879,0.9999,1.827997685185185,1.7320508075688772,1.0,1.0,en:thanks/thanks<ij>,274.0,0.6220084679281462,pt->en,1,1,1362880885,u:i1oW,thanks/thanks<ij>,2013-03-10 02:01:25,2.0236111111111112
324743,0.9999,7.963333333333333,3.1622776601683795,1.0,1.0,en:producers/producer<n><pl>,274.0,0.3970982815514138,es->en,3,3,1362708127,u:hgPZ,producers/producer<n><pl>,2013-03-08 02:02:07,2.035277777777777
241909,0.9999,0.9833101851851852,5.477225575051661,1.0,1.0,en:boy/boy<n><sg>,274.0,0.2265825931833836,it->en,4,4,1362773310,u:h-cB,boy/boy<n><sg>,2013-03-08 20:08:30,20.141666666666666
471825,0.9999,11.492766203703704,2.0,1.0,1.0,en:our/our<det><pos><sp>,274.0,0.5714285714285714,es->en,1,1,1362451459,u:ikfp,our/our<det><pos><sp>,2013-03-05 02:44:19,2.738611111111111
468536,0.9999,0.0046412037037037,3.3166247903554,1.0,1.0,en:gray/gray<adj><sint>,32.16876407082872,0.3797589135968143,it->en,2,2,1362836457,u:ijr8,gray/gray<adj><sint>,2013-03-09 13:40:57,13.6825
143200,0.9999,1.4039583333333334,2.8284271247461903,1.4142135623730951,1.0,en:cook/cook<vblex><pres>,274.0,0.4023689270621824,es->en,4,4,1362614381,u:fh6F,cook/cook<vblex><pres>,2013-03-06 23:59:41,23.994722222222222
191292,0.9999,12.98625,1.7320508075688772,1.0,1.0,en:about/about<pr>,274.0,0.6220084679281462,pt->en,1,1,1362837610,u:gO8Q,about/about<pr>,2013-03-09 14:00:10,14.002777777777778
27710,0.0001,0.0327430555555555,3.605551275463989,1.4142135623730951,1.0,en:black/black<adj>,0.0104166666666666,0.3297383103214111,es->en,0,1,1362283056,u:ccjx,black/black<adj>,2013-03-03 03:57:36,3.96
135990,0.9999,7.556145833333333,1.7320508075688772,1.0,1.0,en:left/left<adj>,274.0,0.6220084679281462,pt->en,1,1,1362812092,u:f_6m,left/left<adj>,2013-03-09 06:54:52,6.914444444444444
423258,0.9999,0.0168518518518518,2.0,1.4142135623730951,1.0,en:an/a<det><ind><sg>,116.80229547911875,0.5,es->en,5,5,1362370596,u:iVXI,an/a<det><ind><sg>,2013-03-04 04:16:36,4.276666666666666
145641,0.9999,50.56079861111111,3.3166247903554,2.449489742783178,1.0,en:are/be<vbser><pres>,274.0,0.2798223573871263,es->en,2,2,1362977721,u:fkzh,are/be<vbser><pres>,2013-03-11 04:55:21,4.9225
493967,0.33333334,0.0650925925925925,1.7320508075688772,1.0,1.0,en:men/man<n><pl>,0.0410688541514213,0.6220084679281462,pt->en,1,3,1363033916,u:jamy,men/man<n><pl>,2013-03-11 20:31:56,20.53222222222222
223348,0.9999,7.18525462962963,4.69041575982343,2.0,1.0,en:woman/woman<n><sg>,274.0,0.2389434199936939,it->en,2,2,1362086965,u:gmRV,woman/woman<n><sg>,2013-02-28 21:29:25,21.490277777777777
51212,0.9999,45.796527777777776,2.8284271247461903,2.0,1.0,en:fruit/fruit<n><sg>,274.0,0.344887651767585,pt->en,2,2,1362405618,u:dV0d,fruit/fruit<n><sg>,2013-03-04 14:00:18,14.005
182331,0.9999,0.0023379629629629,2.23606797749979,1.4142135623730951,1.0,en:important/important<adj>,16.204714070592026,0.4706742197221988,es->en,4,4,1362126205,u:gF0q,important/important<adj>,2013-03-01 08:23:25,8.390277777777778
52199,0.0001,0.0044907407407407,2.23606797749979,1.4142135623730951,1.0,en:but/but<cnjcoo>,0.0104166666666666,0.4706742197221988,es->en,0,1,1362959846,u:dWYa,but/but<cnjcoo>,2013-03-10 23:57:26,23.95722222222222
100820,0.9999,74.9299537037037,2.449489742783178,1.0,1.0,en:think/think<vblex><inf>,274.0,0.4943877491981309,es->en,1,1,1362956385,u:enSg,think/think<vblex><inf>,2013-03-10 22:59:45,22.995833333333334
247382,0.9999,3.927581018518519,3.1622776601683795,1.0,1.0,en:dogs/dog<n><pl>,274.0,0.3970982815514138,it->en,2,2,1362167571,u:h1nZ,dogs/dog<n><pl>,2013-03-01 19:52:51,19.88083333333333
260773,0.9999,0.0016666666666666,6.928203230275509,1.4142135623730951,1.0,en:my/my<det><pos><sp>,11.551875377055705,0.1716962159668367,pt->en,1,1,1362933198,u:h7HG,my/my<det><pos><sp>,2013-03-10 16:33:18,16.555
160545,0.9999,7.070729166666666,2.6457513110645907,1.4142135623730951,1.0,en:children/child<n><pl>,274.0,0.4223410282785991,es->en,2,2,1362444927,u:g0Di,children/child<n><pl>,2013-03-05 00:55:27,0.9241666666666666
72669,0.9999,1.934791666666667,2.0,1.4142135623730951,1.0,en:friends/friend<n><pl>,274.0,0.5,es->en,1,1,1362442279,u:e0ss,friends/friend<n><pl>,2013-03-05 00:11:19,0.1886111111111111
298960,0.9999,6.643668981481482,3.4641016151377544,1.0,1.0,en:juice/juice<n><sg>,274.0,0.3642734410091836,es->en,5,5,1362426792,u:hV4Q,juice/juice<n><sg>,2013-03-04 19:53:12,19.886666666666667
